Nom,Classe_Sismique,longitude,latitude,PGA,Etat de Dommage,St_Dev_DR,Inspection_Priority,Priority_Rank,Replacement_cost,Economic_Loss,MRD_pour,F_PGA
Pont 34,E,-71.25414648,46.82643229,0.062881656,Aucun,0.000311996,Aucun,65,183861.54,0.326521327,0.000177591,1.81
Pont 35,C,-71.31153676,46.82950337,0.043869357,Aucun,7.27E-05,Aucun,88,916208.78,0.113282396,1.24E-05,1
Pont 36,C,-71.14814245,46.89240394,0.025360814,Aucun,5.16E-05,Aucun,93,1724673.92,0.038212248,2.22E-06,1
Pont 37,A,-71.34046738,46.92956753,0.038144144,Aucun,0.001759578,Aucun,49,266195.12,3.401101286,0.001277672,0.62
Pont 38,D,-71.29007057,46.80655979,0.048050107,Aucun,0.003297299,Aucun,41,292565.85,11.76174603,0.004020205,1.29
Pont 39,D,-71.23967009,46.8479651,0.044872563,Aucun,0.002747906,Aucun,46,411444.65,11.86204106,0.002883022,1.29
Pont 40,B,-71.3640131,46.82246193,0.036688426,Aucun,0.001577111,Aucun,50,524282.55,5.484249765,0.001046049,0.71
Pont 41,A,-71.3167073,46.90513474,0.033562677,Aucun,0.001222769,Aucun,55,319395.87,2.098221584,0.000656934,0.62
Pont 42,C,-71.39293208,46.84106043,0.061729809,Aucun,0.006251031,Aucun,28,433962.48,55.98913035,0.012901837,1
Pont 43,B,-71.33098162,46.7549902,0.024195816,Aucun,0.000457942,Aucun,72,1205628.52,1.310186354,0.000108672,0.71
Pont 44,B,-71.35225141,46.79225914,0.030869646,Aucun,0.000958012,Aucun,59,1715381.01,7.211100104,0.000420379,0.71
Pont 45,C,-71.34985979,46.75598512,0.036184778,Aucun,0.00151657,Aucun,52,2806055.08,27.32638838,0.000973836,1
Pont 46,B,-71.31332225,46.76535508,0.024077099,Aucun,0.000450978,Aucun,74,141219.29,0.149209942,0.000105658,0.71
Pont 47,B,-71.31318998,46.76526606,0.024057041,Aucun,0.000449808,Aucun,75,141219.29,0.148500024,0.000105156,0.71
Pont 48,B,-71.30342649,46.77165955,0.023994555,Aucun,0.000446174,Aucun,77,236724.2,0.245249971,0.000103602,0.71
Pont 49,B,-71.30350706,46.77179393,0.024015308,Aucun,0.000447379,Aucun,76,238829.27,0.248658721,0.000104116,0.71
Pont 50,B,-71.30682704,46.77753731,0.024906645,Aucun,0.000501006,Aucun,70,145425.59,0.186375409,0.000128159,0.71
Pont 51,B,-71.33768459,46.74913858,0.023966482,Aucun,0.000444548,Aucun,78,1285779.21,1.323185906,0.000102909,0.71
Pont 52,C,-71.21279217,46.86203498,0.032065374,Aucun,0.001070979,Aucun,58,878141.54,4.526815856,0.0005155,1
Pont 53,B,-71.22681443,46.85339129,0.023712823,Aucun,0.000430013,Aucun,79,633307.09,0.613149131,9.68E-05,0.71
Pont 54,B,-71.17064526,46.87527134,0.019431333,Aucun,0.000227551,Aucun,84,536624.62,0.161242692,3.00E-05,0.71
Pont 55,B,-71.16827283,46.87438559,0.019205048,Aucun,0.000219004,Aucun,85,595394.22,0.166725174,2.80E-05,0.71
Pont 56,B,-71.32005764,46.77005716,0.025140527,Aucun,0.00051569,Aucun,69,201139.66,0.27180859,0.000135134,0.71
Pont 57,B,-71.33100614,46.75488206,0.024184716,Aucun,0.000457289,Aucun,73,1033395.87,1.12007536,0.000108388,0.71
Pont 58,D,-71.2919835,46.8092365,0.048877939,Aucun,0.003449065,Aucun,39,1256609.38,54.83918722,0.00436406,1.29
Pont 59,B,-71.38530452,46.77016478,0.030496195,Aucun,0.000924219,Aucun,62,2768480.3,10.8977182,0.000393635,0.71
Pont 60,D,-71.31865435,46.80877894,0.053754612,Aucun,9.09E-05,Aucun,86,992060.04,0.273308457,2.75E-05,1.29
Pont 61,C,-71.35216584,46.90788104,0.063475055,Aucun,0.00078148,Aucun,61,953141.84,3.842247924,0.000403114,1
Pont 62,B,-71.35603174,46.80183913,0.032645583,Aucun,4.45E-05,Aucun,92,811491.33,0.018120792,2.23E-06,0.71
Pont 63,B,-71.29641926,46.75642349,0.021890067,Aucun,6.26E-06,Aucun,101,288261.31,0.000168368,5.84E-08,0.71
Pont 64,E,-71.22953126,46.82062723,0.056018215,Aucun,0.004104968,Aucun,40,10457862.89,452.8802388,0.004330524,1.81
Pont 65,B,-71.34186722,46.83613055,0.035752861,Aucun,0.001175731,Aucun,60,1132601.88,4.635752005,0.000409301,0.71
Pont 66,D,-71.2509563,46.8128867,0.042382932,Aucun,0.001920388,Aucun,51,2786374.63,28.79852119,0.001033548,1.29
Pont 67,C,-71.34621419,46.81657631,0.047403301,Aucun,0.002622404,Aucun,48,302005.48,5.618654719,0.001860448,1
Pont 68,B,-71.33129116,46.7776681,0.026990633,Aucun,0.00049933,Aucun,80,66430.77,0.053884529,8.11E-05,0.71
Pont 69,C,-71.32954263,46.78489596,0.03907005,Aucun,0.001522534,Aucun,54,277221.84,1.848636982,0.000666844,1
Pont 70,D,-71.29337064,46.81891603,0.050894551,Aucun,0.003181097,Aucun,47,189261.99,5.068277818,0.002677916,1.29
