Nom,Classe_Sismique,longitude,latitude,PGA,Etat de Dommage,St_Dev_DR,Inspection_Priority,Priority_Rank,Replacement_cost,Economic_Loss,MRD_pour,F_PGA
Pont 79,D,-71.20319648,46.8503721,0.051803805,Aucun,0.003336058,Aucun,62,2625529.76,76.90617113,0.002929168,1.29
Pont 80,B,-71.29962371,46.76509176,0.032273121,Aucun,0.000866373,Aucun,88,371193.25,0.853352276,0.000229894,0.71
Pont 81,B,-71.35746888,46.77437117,0.046488503,Aucun,0.002485567,Aucun,70,372522.63,6.264251716,0.001681576,0.71
Pont 82,B,-71.42399993,46.75431292,0.051526023,Aucun,0.003288303,Aucun,65,518611.63,14.78361446,0.002850614,0.71
Pont 83,B,-71.42372386,46.75424318,0.051442848,Aucun,0.003274075,Aucun,66,518611.63,14.6632386,0.002827403,0.71
Pont 84,C,-71.39944035,46.75647883,0.067584554,Aucun,0.006633688,Aucun,54,828630.39,88.63253313,0.010696269,1
Pont 85,B,-71.35260249,46.79209459,0.052080243,Aucun,0.000269054,Aucun,96,1746506.64,0.376488558,2.16E-05,0.71
Pont 86,A,-71.31498026,46.93321535,0.066564304,Aucun,0.000763666,Aucun,90,483425.14,0.760209958,0.000157255,0.62
Pont 87,D,-71.44898901,46.87353609,0.253311887,Aucun,0.05789026,Aucun,10,421657.41,2459.096713,0.583197794,1.143194657
Pont 88,D,-71.4525897,46.87388402,0.257378007,Aucun,0.060110658,Aucun,9,417142.36,2614.314749,0.626720036,1.135455976
Pont 89,D,-71.43135632,46.86664577,0.22756946,Aucun,0.044538382,Aucun,11,379872.5,1343.869612,0.353768597,1.189104019
Pont 90,C,-71.43691991,46.76868326,0.086867128,Aucun,0.002169557,Aucun,71,381103.64,4.367134269,0.001145918,1
Pont 91,D,-71.21839764,46.84470897,0.056237978,Aucun,0.00037608,Aucun,94,881831.14,0.359861532,4.08E-05,1.29
Pont 92,B,-71.52420589,46.72826057,0.04996966,Aucun,0.00022394,Aucun,97,177945.67,0.027034436,1.52E-05,0.71
Pont 93,D,-71.46059909,46.87574231,0.267711948,Aucun,0.065873746,Aucun,6,369353.55,2758.536353,0.746855243,1.115070445
Pont 94,B,-71.51051883,46.72816634,0.049064802,Aucun,0.000206355,Aucun,98,289508,0.037633517,1.30E-05,0.71
Pont 95,B,-71.47747297,46.7703143,0.070853193,Aucun,0.000983591,Aucun,86,265762.63,0.67652516,0.00025456,0.71
Pont 96,B,-71.41064791,46.76749188,0.055369608,Aucun,0.000351626,Aucun,95,325801.65,0.116967759,3.59E-05,0.71
Pont 97,A,-71.50503715,46.8569362,0.166410041,Aucun,0.018995517,Aucun,34,388403.75,272.9061415,0.070263519,0.660322147
Pont 98,C,-71.20863426,46.86501159,0.043821603,Aucun,0.000123253,Aucun,100,386465.82,0.018799227,4.86E-06,1
Pont 99,D,-71.25595068,46.80927325,0.060651228,Aucun,0.000518931,Aucun,93,2585252.83,1.948132425,7.54E-05,1.29
Pont 100,E,-71.23940309,46.82181438,0.081854807,Aucun,0.001732029,Aucun,82,4850475.72,36.22398898,0.000746813,1.81
Pont 101,E,-71.21627851,46.82140365,0.07028474,Aucun,0.000952264,Aucun,87,18614681.05,44.55500179,0.000239354,1.81
Pont 102,B,-71.39531894,46.76608343,0.05140127,Aucun,0.000253898,Aucun,107,356177.11,0.068746302,1.93E-05,0.71
Pont 103,D,-71.32376643,46.80203992,0.086904053,Aucun,0.002173019,Aucun,74,914491.56,10.51112269,0.001149395,1.29
Pont 104,D,-71.1994239,46.85269828,0.050899164,Aucun,0.000243086,Aucun,109,818202.03,0.145350492,1.78E-05,1.29
Pont 105,D,-71.32361348,46.80231991,0.086993736,Aucun,0.002181441,Aucun,73,721795.12,8.357498367,0.001157877,1.29
Pont 106,D,-71.44634368,46.87305419,0.250048949,Aucun,0.056128931,Aucun,11,728123.08,4002.960526,0.549764269,1.14929891
Pont 107,D,-71.19938068,46.85340926,0.051011079,Aucun,0.000245467,Aucun,108,586655.01,0.106171688,1.81E-05,1.29
Pont 108,B,-71.40857203,46.80987274,0.079044525,Aucun,0.00151405,Aucun,91,234848.78,1.358080289,0.000578279,0.71
Pont 109,D,-71.32510615,46.7996912,0.086169608,Aucun,0.002104832,Aucun,77,900570.06,9.742499982,0.001081815,1.29
Pont 110,C,-71.29645447,46.88482888,0.086022747,Aucun,0.002091364,Aucun,78,185796.92,1.985605065,0.001068696,1
Pont 111,B,-71.29999607,46.89445721,0.064353215,Aucun,0.000664557,Aucun,100,439500.71,0.530435449,0.00012069,0.71
Pont 112,A,-71.35574493,46.89109426,0.08249861,Aucun,0.001784685,Aucun,83,966569.61,7.641407953,0.00079057,0.622414734
Pont 113,B,-71.24627229,46.8029853,0.030343971,Aucun,2.06E-05,Aucun,116,1760396.25,0.002802566,1.59E-07,0.71
Pont 114,D,-71.29558344,46.88093954,0.108950097,Aucun,0.004911352,Aucun,61,100284.05,5.423714802,0.005408352,1.29
Pont 115,B,-71.37089541,46.81768665,0.069244965,Aucun,0.000896713,Aucun,97,1399366,2.987409549,0.000213483,0.71
Pont 116,B,-71.29455112,46.75667938,0.02952643,Aucun,1.79E-05,Aucun,117,248780.49,0.000303015,1.22E-07,0.71
Pont 117,C,-71.2096267,46.86567117,0.044217383,Aucun,0.000128489,Aucun,113,322762.7,0.016997499,5.27E-06,1
